EMPLOYER,title,salary,location,submit_date,start_date,status
MAXPOINT INTERACTIVE INC,DATA SCIENTIST,82000,"MORRISVILLE, NC",7/17/2015,7/20/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,108704,"BELLEVUE, WA",7/16/2015,8/10/2015,CERTIFIED
THE GAP INC,DATA SCIENTIST,122200,"SAN FRANCISCO, CA",7/15/2015,9/30/2015,CERTIFIED
MAPLEBEAR INC,DATA SCIENTIST,165000,"SAN FRANCISCO, CA",7/15/2015,7/27/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,105000,"REDMOND, WA",7/10/2015,10/1/2015,CERTIFIED
CHEGG INC,DATA SCIENTIST,150000,"SANTA CLARA, CA",7/8/2015,7/20/2015,CERTIFIED
RADIUS INTELLIGENCE INC,DATA SCIENTIST,123594,"SAN FRANCISCO, CA",7/6/2015,8/3/2015,CERTIFIED
SQUARE INC,DATA SCIENTIST,105789,"SAN FRANCISCO, CA",7/2/2015,10/1/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,135000,"SEATTLE, WA",7/2/2015,7/27/2015,CERTIFIED
THE NIELSEN COMPANY (US) LLC,DATA SCIENTIST,85000,"NEW YORK, NY",7/1/2015,7/10/2015,CERTIFIED
CARDLYTICS INC,DATA SCIENTIST,107500,"ATLANTA, GA",7/1/2015,7/15/2015,CERTIFIED
STITCH FIX INC,DATA SCIENTIST,135000,"SAN FRANCISCO, CA",6/30/2015,7/7/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,133732,"REDMOND, WA",6/29/2015,11/5/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,145043,"NEW YORK, NY",6/26/2015,7/27/2015,CERTIFIED
EMC CORPORATION,DATA SCIENTIST,78480,"SANTA MONICA, CA",6/25/2015,8/17/2015,CERTIFIED
EXPEDIA INC,DATA SCIENTIST,95000,"BELLEVUE, WA",6/25/2015,7/6/2015,CERTIFIED
COLLECTIVE MEDIA INC,DATA SCIENTIST,125000,"NEW YORK, NY",6/25/2015,7/6/2015,CERTIFIED
SQUARE INC,DATA SCIENTIST,100880,"SAN FRANCISCO, CA",6/23/2015,7/6/2015,CERTIFIED
BUXTON CONSULTING INC,DATA SCIENTIST,118000,"FOSTER CITY, CA",6/18/2015,6/29/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,159492,"MENLO PARK, CA",6/18/2015,11/17/2015,CERTIFIED
ORACLE AMERICA INC,DATA SCIENTIST,73736,"WESTMINSTER, CO",6/16/2015,6/22/2015,CERTIFIED
LIVECAREER NA INC,DATA SCIENTIST,99000,"SAN FRANCISCO, CA",6/16/2015,6/18/2015,CERTIFIED
CSC HOLDINGS LLC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",6/12/2015,6/19/2015,CERTIFIED
ZYPMEDIA INC,DATA SCIENTIST,118061,"SAN FRANCISCO, CA",6/12/2015,6/17/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,111500,"REDMOND, WA",6/11/2015,7/6/2015,CERTIFIED
INTEGRAL AD SCIENCE INC,DATA SCIENTIST,125000,"NEW YORK, NY",6/11/2015,7/1/2015,CERTIFIED
MAPLEBEAR INC,DATA SCIENTIST,135000,"SAN FRANCISCO, CA",6/11/2015,6/22/2015,CERTIFIED
GLASSDOOR INC,DATA SCIENTIST,112000,"MILL VALLEY, CA",6/5/2015,7/6/2015,WITHDRAWN
GLASSDOOR INC,DATA SCIENTIST,112000,"MILL VALLEY, CA",6/5/2015,7/6/2015,CERTIFIED
MOVE LOOT INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",6/2/2015,6/8/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,135000,"MENLO PARK, CA",6/2/2015,6/15/2015,CERTIFIED
DATO INC,DATA SCIENTIST,80000,"SEATTLE, WA",6/1/2015,6/11/2015,CERTIFIED
MOVE LOOT INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",6/1/2015,6/8/2015,WITHDRAWN
ROKU INC,DATA SCIENTIST,130000,"NEW YORK, NY",6/1/2015,6/8/2015,CERTIFIED
MOVE LOOT INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",5/29/2015,6/8/2015,WITHDRAWN
WAL-MART ASSOCIATES INC,DATA SCIENTIST,129979,"SUNNYVALE, CA",5/29/2015,9/27/2015,CERTIFIED
AMADEUS NORTH AMERICA INC,DATA SCIENTIST,100000,"WALTHAM, MA",5/28/2015,6/1/2015,CERTIFIED
DEALER DOT COM INC,DATA SCIENTIST,130000,"EDISON, NJ",5/28/2015,7/6/2015,CERTIFIED
EVERQUOTE INC,DATA SCIENTIST,60000,"CAMBRIDGE, MA",5/22/2015,6/1/2015,CERTIFIED
MOVE LOOT INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",5/21/2015,6/1/2015,DENIED
ORACLE AMERICA INC,DATA SCIENTIST,46800,"WESTMINSTER, CO",5/20/2015,5/25/2015,CERTIFIED
BLUE JEANS NETWORK INC,DATA SCIENTIST,135000,"MOUNTAIN VIEW, CA",5/19/2015,6/1/2015,CERTIFIED
OUTRAGEOUS LABS INC,DATA SCIENTIST,135000,"SAN FRANCISCO, CA",5/19/2015,5/25/2015,CERTIFIED
INTEL CORPORATION,DATA SCIENTIST,115693,"SANTA CLARA, CA",5/18/2015,5/28/2015,CERTIFIED
INTERCEPT INTERACTIVE INC,DATA SCIENTIST,115000,"SAN FRANCISCO, CA",5/15/2015,5/26/2015,CERTIFIED
AUDIBLE INC,DATA SCIENTIST,135000,"NEWARK, NJ",5/15/2015,6/1/2015,CERTIFIED
MAPLEBEAR INC,DATA SCIENTIST,150000,"SAN FRANCISCO, CA",5/14/2015,6/1/2015,CERTIFIED
MACHINE ZONE INC,DATA SCIENTIST,116480,"PALO ALTO, CA",5/13/2015,5/19/2015,CERTIFIED
MORNINGSTAR INC (HELLOWALLET A MORNINGSTAR COMPANY),DATA SCIENTIST,120000,"WASHINGTON, DC",5/12/2015,6/1/2015,CERTIFIED
THUMBTACK INC,DATA SCIENTIST,133515,"SAN FRANCISCO, CA",5/12/2015,5/19/2015,CERTIFIED
MOVE LOOT INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",5/11/2015,5/25/2015,DENIED
BLUE JEANS NETWORK INC,DATA SCIENTIST,107000,"MOUNTAIN VIEW, CA",5/9/2015,5/15/2015,CERTIFIED
ANTUIT INC,DATA SCIENTIST,110000,"NEW YORK, NY",5/8/2015,5/11/2015,CERTIFIED
ANTUIT INC,DATA SCIENTIST,110000,"NEW YORK, NY",5/8/2015,5/11/2015,CERTIFIED
EARNEST INC,DATA SCIENTIST,120000,"SAN FRANCISCO, CA",5/8/2015,5/18/2015,CERTIFIED
6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,"SAN FRANCISCO, CA",5/7/2015,5/18/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,105000,"MENLO PARK, CA",5/7/2015,6/1/2015,CERTIFIED
APPLE INC,DATA SCIENTIST,120000,"CUPERTINO, CA",5/7/2015,5/20/2015,CERTIFIED
AUDIBLE INC,DATA SCIENTIST,120000,"NEWARK, NJ",5/7/2015,5/26/2015,CERTIFIED
6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,"SAN FRANCISCO, CA",5/6/2015,5/18/2015,CERTIFIED
GROUPON INC,DATA SCIENTIST,120000,"PALO ALTO, CA",5/6/2015,10/1/2015,CERTIFIED
MICROSOFT CORPORATION,DATA SCIENTIST,133478,"BELLEVUE, WA",5/6/2015,10/1/2015,CERTIFIED
SMARTER TRAVEL MEDIA LLC,DATA SCIENTIST,86445,"BOSTON, MA",5/5/2015,5/14/2015,CERTIFIED
UBER TECHNOLOGIES INC,DATA SCIENTIST,100000,"SAN FRANCISCO, CA",5/5/2015,5/11/2015,CERTIFIED
YAHOO! INC,DATA SCIENTIST,131269,"SUNNYVALE, CA",5/5/2015,8/26/2015,CERTIFIED
LYFT,DATA SCIENTIST,150000,"SAN FRANCISCO, CA",5/5/2015,5/26/2015,CERTIFIED
MERCK SHARP & DOHME CORP,DATA SCIENTIST,70637,"NORTH WALES, PA",5/4/2015,5/15/2015,CERTIFIED
EMC CORPORATION,DATA SCIENTIST,80750,"HOPKINTON, MA",4/29/2015,9/10/2015,CERTIFIED
6 SENSE INSIGHTS INC,DATA SCIENTIST,85946,"SAN FRANCISCO, CA",4/29/2015,5/18/2015,CERTIFIED
ADOBE SYSTEMS INCORPORATED,DATA SCIENTIST,133099,"SAN JOSE, CA",4/28/2015,6/1/2015,CERTIFIED
PUBMATIC INC,DATA SCIENTIST,133515,"REDWOOD CITY, CA",4/28/2015,5/5/2015,CERTIFIED
INSTITUTE OF GAS TECHNOLOGY,DATA SCIENTIST,110000,"DES PLAINES, IL",4/24/2015,6/1/2015,CERTIFIED
INSTITUTE OF GAS TECHNOLOGY,DATA SCIENTIST,110000,"DES PLAINES, IL",4/24/2015,6/1/2015,CERTIFIED
HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY,DATA SCIENTIST,120000,"BOSTON, MA",4/23/2015,4/28/2015,CERTIFIED
ON DECK CAPITAL INC,DATA SCIENTIST,115000,"NEW YORK, NY",4/21/2015,5/1/2015,CERTIFIED
FACEBOOK INC,DATA SCIENTIST,105000,"MENLO PARK, CA",4/20/2015,5/18/2015,CERTIFIED
ZILLOW INC,DATA SCIENTIST,120000,"SEATTLE, WA",4/20/2015,4/27/2015,CERTIFIED
AGILONE INC,DATA SCIENTIST,100000,"SUNNYVALE, CA",4/17/2015,4/23/2015,CERTIFIED
ALTERIAN INC,DATA SCIENTIST,82000,"SEATTLE, WA",4/15/2015,10/1/2015,CERTIFIED
KPMG LLP,DATA SCIENTIST,93912,"NEW YORK, NY",4/15/2015,4/23/2015,CERTIFIED
BAZAARVOICE INC,DATA SCIENTIST,85000,"AUSTIN, TX",4/14/2015,9/28/2015,CERTIFIED
CIGNIFI INC,DATA SCIENTIST,90000,"NATICK, MA",4/10/2015,5/1/2015,CERTIFIED
QUICKEN LOANS INC,DATA SCIENTIST,115500,"HUNTINGTON BEACH, CA",4/10/2015,4/10/2015,CERTIFIED
